dth_max_T,dth_max_phase_T,dth_min_T,dth_min_phase_T,dth_min_phase_T,dth_average_T,dth_average_after_min
0.919917864,0.028795812,0.630612245,0.211538462,0.915512465,0.513484397,0.176418771
0.092402464,0.054973822,0.244897959,0.980769231,0.167590028,0.461809172,0.671559475
0.073921971,0.002617801,0.442857143,0.403846154,0.250692521,0.274033109,0.281672639
0.924024641,0.028795812,0.795918367,0.211538462,0.998614958,0.633712788,0.298547477
0.154517454,0.054973822,0.391836735,0.980769231,0.084487535,0.598771861,0.739177893
0.084188912,0.002617801,0.342857143,0.403846154,0.167590028,0.217186771,0.221125542
0.888603696,0.028795812,0.383673469,0.211538462,0.749307479,0.461162782,0.170242917
0.121663244,0.028795812,0.310204082,0.980769231,0.084487535,0.542966926,0.722345101
0.097022587,0.002617801,0.540816327,0.403846154,0.250692521,0.338995224,0.310897104
0.919917864,0.028795812,0.614285714,0.211538462,0.915512465,0.577117822,0.273556813
0.160677618,0.081151832,0.5,0.980769231,0.084487535,0.651057565,0.771407233
0.094969199,0.002617801,0.391836735,0.403846154,0.167590028,0.239523108,0.226670696
0.890657084,0.028795812,0.391836735,0.211538462,0.915512465,0.460695946,0.173259032
0.129876797,0.054973822,0.451020408,0.980769231,0.084487535,0.612920602,0.735960704
0.075975359,0.002617801,0.318367347,0.980769231,0.167590028,0.204546271,0.356562204
0.902977413,0.028795812,0.467346939,0.211538462,0.915512465,0.501490286,0.215484637
0.14835729,0.028795812,0.516326531,0.980769231,0.084487535,0.70553381,0.815815931
0.113449692,0.002617801,0.442857143,0.980769231,0.250692521,0.287355909,0.425616867
0.921971253,0.028795812,0.573469388,0.211538462,0.832409972,0.531619205,0.224532981
0.119609856,0.028795812,0.359183673,0.980769231,0.084487535,0.549933566,0.696550139
0.051334702,0.002617801,0.293877551,0.403846154,0.084487535,0.225158904,0.228569038
0.900924025,0.028795812,0.483673469,0.211538462,0.832409972,0.504506769,0.212420647
0.156570842,0.081151832,0.548979592,0.980769231,0.084487535,0.703666463,0.807830408
0.107289528,0.002617801,0.432653061,0.403846154,0.001385042,0.340036629,0.291863734
0.924024641,0.028795812,0.524489796,0.211538462,0.832409972,0.541889611,0.24224667
0.146303901,0.081151832,0.630612245,0.980769231,0.084487535,0.743670772,0.799557637
0.103182752,0.002617801,0.375510204,0.980769231,0.250692521,0.195281359,0.33432913
0.872176591,0.028795812,0.442857143,0.211538462,0.915512465,0.438108234,0.142284013
0.117556468,0.028795812,0.451020408,0.980769231,0.084487535,0.618271268,0.782265246
0.119609856,0.002617801,0.614285714,0.403846154,0.250692521,0.377455381,0.355907776
0.944558522,0.028795812,0.581632653,0.211538462,0.915512465,0.546917083,0.234969695
0.136036961,0.081151832,0.483673469,0.980769231,0.167590028,0.618091715,0.739177893
0.082135524,0.002617801,0.351020408,0.403846154,0.167590028,0.227169893,0.223773228
0.896817248,0.028795812,0.524489796,0.211538462,0.915512465,0.504111754,0.229464089
0.136036961,0.028795812,0.475510204,0.980769231,0.084487535,0.649800697,0.793353058
0.119609856,0.002617801,0.524489796,0.403846154,0.250692521,0.327683413,0.30245448
0.924024641,0.028795812,0.524489796,0.211538462,0.998614958,0.521025604,0.213856893
0.133983573,0.028795812,0.375510204,0.980769231,0.084487535,0.591302474,0.735213857
