MFB50,IMEP,Pmax
17,8.590882301,36.975
7,8.877554893,46.838
7.5,8.955638885,46.091
19,8.408597946,32.761
4.5,9.035769463,51.826
6.75,8.855937004,47.896
16.75,8.520319939,36.917
7.5,8.859975815,46.494
6.75,8.603747368,46.936
16.5,8.643803596,36.225
9,8.789658546,45.074
5.5,8.96736908,48.97
16,8.81432724,38.494
6,8.936152458,48.393
5,8.955638885,49.757
19,8.596761703,34.242
9,8.988890648,46.572
10.75,8.703450203,43.003
15.75,8.784926414,38.129
8.5,8.877554893,46.724
8.25,8.803153038,45.152
18.25,8.543840408,34.724
10,8.86583519,44.537
7.75,8.809018135,46.63
16.25,8.620282173,36.59
6.25,8.777938843,47.492
9.25,8.738639832,44.402
15.75,8.796687126,37.725
5.75,8.971311569,48.68
12,8.474720955,39.699
18.75,8.679083824,34.742
5,8.824817657,49.447
6.75,8.83247757,47.475
22.75,8.27335453,29.623
7,8.625584602,45.343
9.75,8.703450203,43.462
22.75,8.308635712,29.026
9,8.842396736,44.076
6.25,8.902855873,48.76
17.25,8.543840408,34.742
6.5,8.895134926,49.39
12.25,8.7093153,40.985
23.75,8.326275826,29.22
9.75,8.719341278,42.676
5.75,8.984963417,49.412
19,8.561481476,33.3
9.5,8.906853676,44.635
13.25,8.568558693,40.219
26.5,7.814703941,25.525
7.25,8.859975815,47.605
12.25,8.627206802,41.101
16.75,8.643803596,37.764
4.5,8.777938843,50.022
9.25,8.820747375,44.96
19.75,8.520319939,33.799
11.5,8.625584602,40.74
6.25,8.809018135,48.913
21.25,8.338035583,32.529
7.25,8.572847366,46.303
8,8.914585114,47.282
16.75,8.673203468,35.531
8,9.024049759,47.471
6.75,8.363288879,44.806
17,8.83784771,37.513
8.5,8.895134926,45.133
8.5,9.049476624,46.38
20.25,8.520319939,32.741
3.75,9.01818943,52.094
8.75,8.891125679,47.282
20.25,8.596761703,32.933
10,8.883415222,43.254
5.5,8.814882278,48.741
20.5,8.53208065,33.242
8.25,8.947872162,46.206
7.25,8.861801147,46.59
26.25,8.120471001,26.716
8,8.900994301,45.419
5,9.008422852,49.835
18.75,8.655563354,35.166
5.75,8.900994301,48.239
7.5,8.885260582,46.764
